age,workclass,education_num,hours_per_week,sex,race,capital_gain,capital_loss,income
46,Private,9,40,Female,White,0,0,<=50K
55,Private,11,40,Male,White,0,0,>50K
29,Private,9,40,Male,White,0,0,<=50K
28,Private,10,40,Male,White,0,0,<=50K
45,Private,13,50,Female,White,0,0,>50K
32,State-gov,11,40,Male,White,0,0,<=50K
41,Private,9,45,Female,White,0,0,<=50K
38,Private,12,40,Male,White,0,0,>50K
50,Self-emp,10,55,Female,White,0,0,>50K
29,Private,9,40,Male,Black,0,0,<=50K
36,Local-gov,13,40,Female,White,0,0,>50K
27,Private,8,20,Male,Other,0,0,<=50K
43,Private,11,40,Female,White,0,0,>50K
34,Private,9,40,Male,White,0,0,<=50K
39,State-gov,10,40,Female,White,0,0,<=50K
55,Private,14,60,Male,White,99999,0,>50K
31,Private,9,30,Female,White,0,0,<=50K
26,Private,9,40,Male,White,0,0,<=50K
47,Private,12,50,Female,White,0,0,>50K
37,Private,9,40,Male,Black,0,0,<=50K
42,Self-emp,13,45,Female,White,0,0,>50K
33,Private,10,40,Male,White,0,0,<=50K
30,Private,9,40,Female,White,0,0,<=50K
44,Private,13,40,Male,White,0,0,>50K
35,Private,9,35,Female,White,0,0,<=50K
46,Federal-gov,16,40,Male,White,0,0,>50K
29,Private,9,25,Female,Asian-Pac-Islander,0,0,<=50K
51,Private,10,40,Male,White,0,0,>50K
28,Private,11,40,Female,White,0,0,<=50K
40,Private,12,45,Male,White,0,0,>50K
24,Private,9,20,Female,White,0,0,<=50K
53,Self-emp,14,50,Male,White,0,0,>50K
36,Private,9,40,Male,White,0,0,<=50K
32,Private,10,40,Female,White,0,0,<=50K
49,Private,13,40,Male,White,0,0,>50K
27,Private,9,20,Female,White,0,0,<=50K
38,Private,9,45,Male,White,0,0,<=50K
45,Local-gov,9,40,Female,White,0,0,<=50K
31,Private,12,40,Male,White,0,0,>50K
26,Private,9,40,Female,White,0,0,<=50K
58,Self-emp,13,60,Male,White,0,0,>50K
34,Private,9,35,Female,Black,0,0,<=50K
29,Private,9,40,Male,White,0,0,<=50K
37,Private,11,50,Male,White,0,0,>50K
43,Private,9,40,Female,White,0,0,<=50K
35,Private,10,40,Male,White,0,0,<=50K
48,Private,13,55,Male,White,0,0,>50K
33,Private,9,30,Female,White,0,0,<=50K
41,State-gov,12,40,Male,White,0,0,>50K
30,Private,9,40,Female,White,0,0,<=50K
52,Private,14,40,Male,White,0,0,>50K
28,Private,9,40,Female,White,0,0,<=50K
39,Private,9,45,Male,White,0,0,<=50K
36,Private,10,60,Female,White,0,0,>50K
44,Self-emp,9,40,Male,White,0,0,>50K
27,Private,9,20,Female,Other,0,0,<=50K
50,Private,11,45,Male,White,0,0,>50K
31,Private,9,40,Female,White,0,0,<=50K
25,Private,8,30,Male,White,0,0,<=50K
47,Private,9,40,Female,White,0,0,>50K
34,Private,9,40,Male,White,0,0,<=50K
29,Private,10,40,Female,White,0,0,<=50K
38,Private,13,50,Male,White,0,0,>50K
46,Private,9,40,Female,White,0,0,<=50K
55,Private,11,40,Male,White,0,0,>50K
30,State-gov,10,40,Male,White,0,0,<=50K
32,Private,9,40,Female,White,0,0,<=50K
41,Private,13,45,Male,White,0,0,>50K
28,Private,9,40,Female,Asian-Pac-Islander,0,0,<=50K
35,Private,10,40,Male,White,0,0,<=50K
43,Private,9,40,Female,Black,0,0,<=50K
39,Self-emp,12,55,Male,White,0,0,>50K
27,Private,9,20,Male,White,0,0,<=50K
33,Private,11,40,Female,White,0,0,<=50K
50,Private,13,40,Male,White,15024,0,>50K
36,Private,9,45,Female,White,0,0,<=50K
29,Private,9,40,Male,White,0,0,<=50K
42,Private,12,40,Female,White,0,0,>50K
31,Private,9,40,Male,White,0,0,<=50K
54,Private,9,40,Female,White,0,0,>50K
26,Private,9,30,Male,White,0,0,<=50K
48,Self-emp,14,60,Male,White,99999,0,>50K
37,Private,9,40,Female,White,0,0,<=50K
40,Private,11,40,Male,White,0,0,>50K
35,Private,9,35,Female,White,0,0,<=50K
38,Private,9,45,Female,White,0,0,<=50K
